Latest education status,"City of Residence, current","Country of Residence, current",Gender,Choose the digital tools you are currently using for learning:,Industry that you are currently in:,Current stage of DATA CAREER,Is your work city the same as your city of residence?,Work location - specify city,Monthly Salary Range (Or monthly income from main source),Type of work,Work set-up,What best describes MAJORITY of your day-to-day role?,What other descriptions comprise the REST of your role? (Click all that apply),What is the size of your Data Team?,What are the data INGESTION tools you currently use? (Optional),What are the data TRANSFORMATION tools you currently use?  (Optional),What are the data WAREHOUSES you currently use?   (Optional),What are the data ORCHESTRATION tools you currently use?   (Optional),What are the BUSINESS INTELLIGENCE tools you currently use?  (Optional),What are the REVERSE ETL tools you currently use?   (Optional),What are the DATA QUALITY tools you currently use? (Optional),What are the DATA CATALOGS you currently use?   (Optional),What are the cloud platforms that you currently use?    (Optional),What are the non-cloud platforms that you currently use?  (Optional),Which of the following general tools do you use? Choose all that apply.,Which of the following do you use on a regular basis? Choose all that apply.,Do you currently use AI in your workflow or study? Choose all that apply.,Do you use any of the following hosted notebook products?,What hardware do you currently use for data?,Whether or not aware of the free resources in the DEP website,"If aware of the free resources, have you used at least one of the resources in the DEP website?","Thinking of data-related communities, what other Facebook communities do you follow?",Any specific needs you are trying to address by joining DEP Facebook group?,"Any specific tasks, skills, knowledge or resources you are willing to contribute to the group?","Thinking of ways to improve communications in the group, do you have any suggestions?","Thinking of your most recent job, which platform or method gave you the most success?",Type of employer,Age
College degree,"Quezon City, Philippines",Philippines,Male,Cisco,"IT, BPO, and Business Services",Student/ New grad/ Career Break, ,na,,  ,NA,NA, ,None,_,_,DynamoDB,.,na, , ,NA,Microsoft Azure,  ,"Google sheets, Excel, Google Drive, OneDrive, MS Teams, Discord",na,"Chatgpt, Copilot",Kaggle Notebooks,laptop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines, FTW Foundation, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition",none,_,_,Local employer,20 to 24
College degree,"Davao City, Philippines",Philippines,Male,"Datacamp, Freecodecamp, Khan Academy",Not working,Student/ New grad/ Career Break,None,None,,_,none,.,NA,  ,  ,.,NONE,None, ,None,., ,N/A,none,"Google sheets, Google Drive, Zoom, Google Meet","DAX (Power BI), Javascript, Python, SQL","No, I do not use AI currently", ,laptop,"No, I just found out now.","No, I just browsed through.","Data Science Manila, Data Science Philippines, DEVCON Community Group, DEVCON Philippines, Programmers,Developers, Software DevOps & Data","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Regularly post content, Volunteer for group initiatives, Volunteer to speak in events",Non so far,NA,_,25 to 29
College degree,"Bayombong, Nueva Vizcaya",Philippines,Female,Youtube bootcamp,"IT, BPO, and Business Services",Student/ New grad/ Career Break,N/A,none,,NONE,_,_,none,NA,N/A,none,NA,N/A,NONE,_,none,NONE,na, ,"Google sheets, Google Drive, Zoom, Discord",None,Chatgpt,PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.","AI Pilipinas, Analytics Association of the Philippines, Community: SPARTA PH, Data Analytics Philippines, Data Ethics PH, Data Science Manila, DevOps Philippines, DEVCON Community Group, DEVCON Philippines, Java User Group Philippines, R User Group - Philippines, WiTech, Women Who Code Manila","Career advancement, Continued learning, Upskill / Skill acquisition",  ,NONE,  ,Intern,20 to 24
Secondary school student,"Pasig, Philippines",Philippines,Prefer not to say,W3Schools,,Student/ New grad/ Career Break, ,none,,  ,None,na,None,none, ,.,na, ,na,NA,_,_,NONE, ,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Discord","R, VBA","Chatgpt, Gemini",Replit,laptop,"No, I just found out now.","No, I just browsed through.",Women Who Code Manila,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition",Answer surveys,None,na,"Hospital, IT Operations ",20 to 24
College degree,"Makati, Philippines",Philippines,Male,Not currently using any digital tools for learning,"IT, BPO, and Business Services",Professional,Work city different from residence,Taguig,"125,001 to 250,000",Full-time,Hybrid,Software Engineer,"Management, Data Analyst",4 to 5,Databricks,Spark,"Big Query, Snowflake",Don't know,Power BI,"Spark, Python",Great Expectations,Datahub,"Amazon Web Services (AWS), Google Cloud Platform (GCP)",na,"Google sheets, Excel, OneDrive, MS Teams","Python, SQL","Chatgpt, Claude, Copilot, Gemini","Amazon Sagemaker Studio, Amazon Sagemaker Studio Lab",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Big Data Analytics PH, Community: SPARTA PH, DEVCON Community Group, DEVCON Philippines, SPARTA PH: Data Engineer","Continued learning, Upskill / Skill acquisition, Network",Answer surveys,"Just a suggestion of how to categorize communication modes: I think using Stackoverflow's distinction between asynchronous communication (git, email, forums) and synchronous (Googlr Meet, MS Teams, etc.) Can be useful for further categorizing communication tools in this survey. One is good for keeping history of communication for future reference, the other is useful for context-rich and prompt communication.","LinkedIn, My network  - people I know",Local employer,30 to 34
College degree,Bulacan,Philippines,Male,Not currently using any digital tools for learning,"IT, BPO, and Business Services",Career shifter,Work city same as residence,Davao City,"15,001 to 25,000",Full-time,100% onsite,My current role is managing the plant's recycling management facility while also pursuing a career as a data scientist/analyst.,"Management, Data Analyst, Business Analyst",4 to 5,_,_,_,N/A,Power BI, ,none,Databricks,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Microsoft Azure","Oracle Database, IBM Db2","Google sheets, Excel, Dropbox, Google Drive, OneDrive, Trello, Zoom, MS Teams, Google Meet, Slack", ,"Chatgpt, Gemini",Databricks Collaborative Notebooks,workstation,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Community: SPARTA PH, Power BI Philippines UG, Project SPARTA, NLPinas","Career advancement, Continued learning, Upskill / Skill acquisition",Answer surveys,.,My network  - people I know,Local employer,35 to 39
College degree,"Manila, Philippines",Philippines,Male,"Google Analytics, Google Cloudskills Boost, Google Developers, Kaggle Online course, LeetCode, W3Schools",Own Business/ Consultancy/Freelance,Career shifter,Work city different from residence,US,"25,001 to 35,000",Freelance,Mostly work from home/ fully remote,Management,"Management, Developer",1 - Just me,Meltano,dbt,postgresql,Dagster,NA,N/A,NA,.,Amazon Web Services (AWS),PostgreSQL,"Google sheets, Google Drive, Google Meet, Slack, Airtable and Causal","Appscript (Google), Python, SQL",Chatgpt,No,laptop,"No, I just found out now.","No, I just browsed through.",none,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition",Community Manager,  ,LinkedIn,Multinational employer,30 to 34
College degree,"Antipolo,Philippines",Philippines,Male,"Coursera, Datacamp, Kaggle Online course, Udemy, Youtube bootcamp",Logistics,Student/ New grad/ Career Break,none,NA,,None,none,na,None,N/A,N/A,None,NA,na,.,  ,_,Datahub,.,"Oracle Database, mostly company-specific","Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord",Python,Chatgpt,NA,desktop,"No, I just found out now.",N/A,None,N/A,"Answer surveys, Coordinate during events",None,na,Multinational employer,35 to 39
College degree,"Taguig, Philippines",Philippines,Male,"Coursera, Udemy","IT, BPO, and Business Services",Career shifter,Work city same as residence,MAKATI,"15,001 to 25,000",Full-time,100% onsite,Software Engineer,Appraise properties and Machineries,4 to 5,  , ,na,na,Power BI,NONE, ,NA,na,None,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet","DAX (Power BI), Python, SQL, VBA",Chatgpt,PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.",IT Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Once I become expert in the specific field, I would love to share it to others.",None. I'm an introvert.,LinkedIn,Local employer,25 to 29
College degree,"Cebu City, Philippines",Philippines,Male,"Google Cloudskills Boost, LinkedIn Learning, W3Schools",Not working,Student/ New grad/ Career Break,na,na,,None,.,na,na,NONE,NONE, ,DynamoDB,na, ,NA,NONE,_,"Google Cloud Platform (GCP), Databricks",NA,"Google sheets, Excel, Google Drive, OneDrive, Google Meet, Discord","Javascript, Python",  ,"Kaggle Notebooks, Google Cloud Vertex AI Workbench, PythonAnywhere Jupyter Notebook",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",Data Analytics Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Volunteer for group initiatives",Learning things about one another first,N/A,_,20 to 24
College degree,"Paranaque, Philippines",Philippines,Male,Datacamp,Banking / Finance / Insurance,Career shifter,Work city different from residence,Manila,"35,001 to 45,000",Full-time,100% onsite,IT hardware,"Data Engineer, Data Analyst, Business Analyst",1 - Just me,NA,None,DynamoDB,NONE,Looker,.,Internal Pyspark Library,NONE,Amazon Web Services (AWS),"Apache Spark, PostgreSQL","Excel, Dropbox, OneDrive, MS Teams",NA,Chatgpt,Amazon EMR Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",none,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Coordinate during events, Regularly post content, Resource for specific topic, Co-training/ Training",Polls and surveys,"LinkedIn, OnlineJobs.ph",Local employer,30 to 34
College degree,"Davao City, Philippines",Philippines,Female,"Coursera, Datacamp, Git Hub Learning Lab, Google Analytics, Google Developers, Kaggle Online course, LeetCode, MicrosoftLearn",Not working,Student/ New grad/ Career Break,None,NA,,  ,NONE,None,NA,na,None,none,NONE,None,.,.,na,  ,None,N/A,"Google sheets, Excel, Google Drive, Clickup, Zoom, MS Teams, Google Meet, Discord","Python, SQL","Chatgpt, Gemini",none,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",  ,Career advancement,Answer surveys,I think being more approachable in community tabs and I recommend din po sana ang forums in DC but it's already there so that's good po,  ,NONE,20 to 24
College degree,"Manila, Philippines",Philippines,Female,Cisco,"IT, BPO, and Business Services",Student/ New grad/ Career Break,NONE,None,,NA,NA,NA,None, ,NONE,_,_,  ,NONE,None,NA,None,N/A, ,"Google sheets, Google Drive, Zoom, Discord",Python,"No, I do not use AI currently","Colab Notebooks, Google Cloud Vertex AI Workbench, Databricks Collaborative Notebooks",laptop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Community: SPARTA PH, Data Analytics Philippines, DEVCON Philippines, Digital Analytics Philippines, WiTech, Women Who Code Manila","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Resource for specific topic",.,N/A,Intern,30 to 34
College degree,"Manila, Philippines",Philippines,Male,"Coursera, LinkedIn Learning, Udemy, W3Schools, YouTube Video",Not working,Career shifter,Work city different from residence,"Los Banos, Laguna","15,001 to 25,000",Full-time,Mostly work from home/ fully remote,Management,"Management, Data Engineer, Data Analyst, Business Analyst",1 - Just me,NONE,None,None,N/A,none,none,_,na,None, ,"Google sheets, Excel, Google Drive, Google Meet","DAX (Power BI), SQL","Chatgpt, Poe","Kaggle Notebooks, Colab Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, Digital Analytics Philippines, Power BI Philippines UG, Project SPARTA","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",Answer surveys,  ,Jobstreet, ,20 to 24
Other - specify,"Caloocan, Philippines",Philippines,Male,"W3Schools, Youtube bootcamp",Not working,Student/ New grad/ Career Break,_,.,,NONE, ,_, ,none,  ,None,"Don't know, None",.,"Tableau, Python webapps","Don't know, None","Don't know, None","Don't know, None",Microsoft Azure,"Oracle Database, IBM Db2","Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","SQL, dbVisualizer","Chatgpt, Gemini",N/A,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Python Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys,., ,.,20 to 24
College degree,United Kingdom,United Kingdom,Female,"Codecademy, Datacamp, Freecodecamp, Kaggle Online course, Udemy, Youtube bootcamp","IT, BPO, and Business Services",Student/ New grad/ Career Break,Work city different from residence,Taguig,,Freelance,No work as of now,Na,"Data Engineer, Data Analyst, Data Scientist, Business Analyst",4 to 5,"Visual Studio, Visual Studio Code, C#","Dataform, Visual Studio, Visual Studio Code, C#",DynamoDB,I currently have no knowledge in this,Looker,"None, ",Don't know,Zeenea,Amazon Web Services (AWS),"PostgreSQL, Oracle Database","Google sheets, Excel, Dropbox, Google Drive, OneDrive, Monday.com, MS Teams, Slack","Excel,powerbi",Chatgpt,"Kaggle Notebooks, Colab Notebooks, Deepnote Notebooks",Vm,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","FTW Foundation, PyData Philippines, Python Philippines",Improve presentation and communication skills,"Coordinate during events, Joint initiative with other groups",na,"My network  - people I know, Internal promotion from Ops",Multinational employer,35 to 39
College degree,"Quezon City, Philippines",Philippines,Female,"Datacamp, Google Cloudskills Boost",Self-Employed,Student/ New grad/ Career Break, ,_,,_,NONE,_,., ,  ,N/A,na,NONE,_, ,NONE,_,na,N/A,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet",  ,Chatgpt,Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Design Philippines, AI Pilipinas, MS in Data Science - AIM Group, Philippine Data Scientists Community - eScience, Power BI Philippines UG, Project SPARTA, Python Philippines, R User Group - Philippines, She loves data, SPARTA PH: Data Engineer, Women Who Code Manila","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Resource for specific topic",Set clear roles and expectations so everyone knows their responsibilities and deadlines. Regular check-ins to help track progress,None,none,20 to 24
College degree,"Taguig, Philippines",Philippines,Male,Cisco,Education,Student/ New grad/ Career Break,  ,na,,None,_,  ,N/A,., ,_,  ,na,na,None,none,na,NA,.,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Clickup, Zoom, MS Teams, Google Meet, Slack, Discord",Python,Chatgpt,  ,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",AWS AI/ML,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Joint initiative with other groups, Volunteer for group initiatives",Location-based-groupchats,none,None,NA
College degree,"Sorsogon City, Philippines",Philippines,Male,Not currently using any digital tools for learning,,Career shifter,Work city same as residence,Panabo City,"15,001 to 25,000",Freelance,Mostly work from home/ fully remote,trader,Data Analyst,11 to 30,Don't know,Don't know,"AWS Redshift, Snowflake, Hadoop",Don't know,Power BI,.,NONE,NA,"Amazon Web Services (AWS), Snowflake",N/A,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Discord","Python, SQL",Chatgpt,  ,laptop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Data Analytics Philippines, Datasense Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Resource for specific topic, Co-training/ Training, Volunteer to speak in events","Enrolling in STAGE Academy Course, read ""Think Faster, Talk Smarter"" book",My network  - people I know,Multinational employer,20 to 24
Secondary school student,Nueva Ecija Cabanatuan City,Philippines,Female,Coursera,Not working,Student/ New grad/ Career Break,NA, ,,N/A, ,na,NA,_,none,NA,.,.,  , ,.,_,  ,none,"Excel, Google Drive, Discord","DAX (Power BI), M language (Power Query), VBA",Chatgpt,PythonAnywhere Jupyter Notebook,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",N/A,Upskill / Skill acquisition,Answer surveys,Non so far,N/A,_,20 to 24
